Time to next payment,Payment frequency,Time to maturity,Coupon rate,Clean Price,YTM
0.4356,2,0.4356,0.01,100.3,0.0212
0.2644,2,0.7644,0.01,100.48,0.0208
0.2658,2,1.2658,0.01,100.5,0.0175
0.4342,2,1.9342,0.01,100.31,0.0150
0.0192,2,2.0192,0.00,99.78,0.0101
0.4753,2,2.9753,0.01,100.16,0.0183
0.3534,2,3.3534,0.02,102.34,0.0313
0.1,2,3.6,0.02,103.08,0.0355
0.2685,2,4.2685,0.02,104.19,0.0419
0.4342,2,4.9342,0.02,102.06,0.0382
0.2274,2,5.2274,0.05,115.91,0.0674
0.1027,2,5.6027,0.02,104.36,0.0476
0.2712,2,6.2712,0.03,105.86,0.0526
0.437,2,6.937,0.02,102.97,0.0513
0.4822,2,7.4822,0.04,110.53,0.0581
0.226,2,7.726,0.04,113.09,0.0603
0.4822,2,8.4822,0.03,103.98,0.0577
0.226,2,8.726,0.03,106.5,0.0600
0.2301,2,9.2301,0.03,108,0.0620
0.4808,2,9.9808,0.03,101.19,0.0624
0.4932,2,25.4932,0.05,117.58,0.0630
0.4959,2,26.4959,0.05,122.28,0.0567
0.2397,2,26.7397,0.05,126.97,0.0507
0.4959,2,27.4959,0.04,115.19,0.0665
0.2397,2,27.7397,0.05,117.47,0.0633
0.4959,2,28.4959,0.04,98.98,0.0905
0.2397,2,28.7397,0.04,112.44,0.0707
0.2438,2,29.2438,0.04,114.67,0.0678
0.4945,2,29.9945,0.04,105.75,0.0803
